Shipment_ID,Region,Transport_Mode,Shipment_Volume,Distance_km,Delivery_Time_days,Transport_Cost,Delay_days,On_Time
S074,South,Road,493,222,12.93,2307.61,4.7,0
S075,North,Road,451,702,2.55,13852.21,0.2,1
S076,South,Road,360,803,17.6,13113.5,3.5,0
S077,West,Rail,58,1293,18.5,8023.15,4.6,0
S078,West,Road,119,1131,2.16,9073.49,0.9,1
S079,East,Air,308,525,6.26,6285.54,2.8,0
S080,West,Road,273,505,16.32,1294.04,4.6,0
S081,East,Road,241,878,15.22,5360.36,0.2,1
S082,West,Road,376,944,4.51,12141.38,3.5,0
S083,North,Air,42,1434,4.98,567.16,1.5,0
S084,West,Air,269,1074,8.04,5335.74,4.6,0
S085,East,Road,29,436,10.21,6273.45,4.9,0
S086,East,Rail,265,397,12.75,8292.24,4.7,0
S087,South,Rail,344,239,8.01,13837.91,2.4,0
S088,North,Road,119,554,9.79,5522.02,4.3,0
S089,West,Road,309,1264,15.2,5530.82,4.2,0
S090,South,Road,199,1442,1.7,11193.77,1.6,0
S091,West,Road,242,1482,5.8,7057.16,4.1,0
S092,West,Air,413,873,14.55,3756.77,0.2,1
S093,South,Air,269,978,18.01,7060.37,3.0,0
S094,South,Road,166,983,10.72,2542.43,1.2,0
S095,South,Road,461,1190,11.11,3057.61,0.6,1
S096,South,Road,115,183,3.04,7726.33,0.4,1
S097,South,Rail,276,107,9.5,6574.42,3.5,0
S098,West,Air,344,734,11.12,13765.27,1.7,0
S099,South,Air,23,721,5.61,5754.71,3.6,0
S100,North,Rail,35,222,6.12,8918.53,0.3,1
S101,East,Road,299,864,8.17,9667.83,1.6,0
S102,South,Road,355,1222,1.38,689.87,2.7,0
S103,South,Road,266,129,7.12,10121.29,4.0,0
S104,West,Air,277,935,5.02,3081.52,1.6,0
S105,South,Road,495,1286,7.22,14435.52,3.1,0
S106,South,Road,403,252,3.28,2655.61,4.4,0
S107,South,Road,179,813,17.92,6512.05,3.1,0
S108,West,Rail,494,1302,12.28,1737.57,1.2,0
S109,South,Road,359,1300,13.9,14954.68,0.1,1
S110,East,Road,171,1475,15.99,7781.83,4.4,0
S111,West,Road,415,96,10.47,9133.08,0.1,1
S112,East,Rail,197,1306,2.65,1472.61,4.4,0
S113,West,Rail,182,1378,11.21,11374.43,2.6,0
S114,South,Road,399,1216,12.15,3543.63,4.7,0
S115,East,Rail,52,1488,15.16,13521.79,4.0,0
S116,West,Road,436,1446,9.2,3474.52,5.0,0
S117,North,Road,464,1332,3.42,3264.97,1.8,0
S118,South,Rail,198,705,6.39,1029.97,3.8,0
S119,West,Road,446,520,7.9,7344.97,2.0,0
S120,North,Rail,120,1020,13.27,8690.2,2.4,0
S121,West,Rail,287,1085,11.84,1452.78,3.1,0
S122,North,Road,342,1403,7.77,11745.15,4.4,0
S123,South,Road,84,785,19.74,7072.69,4.9,0
S124,East,Road,436,833,12.51,8103.66,3.8,0
S125,North,Road,187,1017,5.51,6891.06,2.1,0
S126,West,Road,349,407,2.93,6311.06,2.1,0
S127,South,Air,62,1021,3.9,8614.78,3.7,0
S128,North,Road,63,1481,5.67,2750.98,1.2,0
S129,West,Air,304,717,4.05,3137.96,0.6,1
S130,West,Road,416,422,4.54,12995.89,1.8,0
S131,West,Rail,31,1081,6.42,14218.67,1.4,0
S132,North,Road,114,1195,4.29,5912.99,1.5,0
S133,North,Road,321,1421,18.04,4425.8,1.2,0
S134,North,Road,405,725,2.52,9837.99,0.2,1
S135,East,Road,272,139,10.97,6426.65,0.1,1
S136,North,Rail,261,747,8.8,868.1,4.9,0
S137,North,Road,54,1389,19.67,2764.21,2.1,0
S138,North,Road,234,1251,3.13,10881.6,1.9,0
S139,East,Road,356,589,8.56,10054.4,3.4,0
S140,North,Road,109,781,19.42,892.89,1.1,0
S141,West,Air,283,918,17.44,3718.6,4.7,0
S142,North,Air,112,90,16.52,3850.58,3.9,0
S143,West,Air,429,789,5.9,10242.44,0.4,1
S144,West,Road,477,551,4.25,785.8,2.1,0
S145,West,Road,109,1008,13.7,2009.57,4.4,0
S146,East,Air,437,1218,18.66,12098.78,4.7,0
S147,East,Road,134,1274,11.58,3088.9,2.3,0
S148,East,Air,124,978,11.86,9964.82,3.1,0
S149,North,Air,410,510,6.32,3953.65,0.8,1
S150,West,Air,215,781,15.62,1941.9,5.0,0
S151,East,Road,333,801,4.55,4026.0,1.2,0
S152,East,Road,133,974,7.15,10972.87,4.7,0
S153,North,Air,94,958,9.08,12907.6,3.2,0
S154,East,Road,432,1326,10.64,12538.19,3.0,0
S155,North,Road,395,439,5.61,6259.16,2.6,0
S156,South,Road,439,932,3.18,10187.23,1.2,0
S157,East,Air,236,305,12.6,3472.27,0.9,1
S158,South,Rail,296,758,6.48,4750.64,1.1,0
S159,North,Road,268,499,12.04,13496.87,0.9,1
S160,West,Road,183,59,3.93,688.53,3.9,0
S161,East,Road,413,873,10.14,1739.87,1.8,0
S162,North,Air,376,847,11.12,3514.35,0.3,1
S163,West,Road,476,1315,1.98,884.72,4.8,0
S164,West,Road,427,1324,7.4,3130.81,4.4,0
S165,South,Air,211,926,3.55,8954.1,4.6,0
S166,North,Rail,246,1078,2.2,6610.66,5.0,0
S167,West,Rail,196,1192,19.81,13443.74,0.9,1
S168,East,Rail,118,1065,7.12,12352.93,2.0,0
S169,East,Road,55,423,16.39,5456.35,3.8,0
S170,South,Road,485,1138,5.84,4261.64,3.5,0
S171,West,Rail,115,195,13.95,6005.54,0.8,1
S172,North,Rail,171,273,15.44,9059.28,4.1,0
S173,East,Air,170,1312,12.32,4386.92,1.1,0
S174,West,Air,209,226,9.96,9550.16,1.1,0
S175,West,Road,243,902,8.82,6436.47,2.7,0
S176,South,Road,56,1355,7.63,8504.68,3.0,0
S177,East,Rail,287,112,18.66,6823.83,2.9,0
S178,East,Road,388,1290,16.78,4769.75,0.5,1
S179,North,Rail,202,876,19.34,14252.57,4.4,0
S180,East,Rail,32,844,3.36,11572.28,1.3,0
S181,North,Air,298,738,14.89,2531.64,0.6,1
S182,East,Road,236,154,18.83,13092.79,4.4,0
S183,South,Road,374,1172,4.44,7567.75,4.8,0
S184,East,Road,380,560,2.26,13471.01,4.3,0
S185,North,Road,305,434,15.08,12097.9,4.0,0
S186,North,Road,292,454,11.91,6665.6,3.3,0
S187,South,Road,388,872,16.99,825.8,2.8,0
S188,East,Road,81,567,3.66,4395.82,0.4,1
S189,East,Road,103,525,16.11,8353.7,2.0,0
S190,South,Road,387,758,4.83,9685.43,1.9,0
S191,East,Road,236,820,4.11,4239.37,1.3,0
S192,East,Road,361,1096,4.12,2520.66,3.6,0
S193,North,Rail,416,1046,16.48,12606.49,2.5,0
S194,East,Road,206,726,13.64,14773.83,0.4,1
S195,East,Road,38,763,10.94,8122.51,1.1,0
S196,South,Road,196,132,7.82,2989.35,3.4,0
S197,South,Rail,119,1218,17.67,4448.46,0.4,1
S198,West,Road,415,1158,8.46,766.66,4.3,0
S199,North,Road,464,1151,16.52,13757.33,2.5,0
S200,East,Road,252,506,9.34,2207.39,2.4,0
